,0
0,MAZD
1,ACUR
2,TOYT
3,FORD
4,SUBA
5,NISS
6,HOND
7,HYUN
8,JEEP
9,CHEV
10,TOYOT
11,CHRY
12,KIA
13,BMW
14,LEXS
15,DODG
16,ACURA
17,BUIC
18,RAM
19,MERZ
20,VOLK
21,LEXUS
22,INFI
23,LAND
24,PONT
25,MERC
26,CADI
27,STRN
28,LINC
29,DOD
30,GMC
31,NaN
32,AUDI
33,LEXU
34,CHEVR
35,SUBAR
36,SUZU
37,VOLV
38,HYUND
39,JAQU
40,MAZDA
41,DODGE
42,TOY
43,SATU
44,SAA
45,CHRYS
46,SATR
47,HONDA
48,INFIN
49,FIAT
50,MITS
51,UNK
52,LNDR
53,SUZI
54,YAMA
55,HON
56,MNNI
57,NIS
58,MERCU
59,LAN
60,VOLKS
61,UNKN
62,TOYO
63,OLDS
64,VOLVO
65,NISSA
66,ISUZ
67,BUICK
68,FOR
69,MINI
70,MAZ
71,PLYM
72,SCIO
73,HUMM
74,PORS
75,MASER
76,LINCO
77,CADIL
78,OTH
79,ROV
80,DEALE
81,VCTY
82,CANA
83,INTE
84,MACK
85,NFLY
86,SAAB
87,HYU
88,SATUR
89,JAGU
90,TESL
91,V W
92,KAWA
93,PONTI
94,MOPED
95,MOTOR
96,MITSU
97,MERCE
98,ISU
99,HD
100,VLV
101,OLD
102,CHE
103,SUB
104,LEX
105,CAD
106,INTER
107,FREI
108,TSMR
109,STER
110,STERL
111,SUZK
112,FRHT
113,ALFA
114,SUZUK
115,SCION
116,MASE
117,BUI
118,MB
119,FRD
120,BOAT
121,RANG
122,JEE
123,AUTO
124,TRAI
125,METRO
126,APRI
127,TRUC
128,JAG
129,KENWO
130,CHR
131,LND
132,SUBU
133,SEDA
134,CHEVY
135,FREIG
136,FTL
137,GEO
138,INTL
139,MIT
140,UN
141,NEWF
142,ISUZU
143,PLYMO
144,JEP
145,MITZ
146,TOYA
147,SUZX
148,DAEW
149,KAWAS
150,AUD
151,SAT
152,JAGUA
153,SUZ
154,REGAL
155,OLDSM
156,ACU
157,HONA
158,VW.
159,NFUS
160,KIA M
161,VLK
162,HARL
163,IC
164,MAXD
165,VOL
166,EAGL
167,PON
168,MEB
169,HINO
170,LANR
171,PTRB
172,INF
173,HARLE
174,FRIGH
175,NISN
176,HUMME
177,MREC
178,2008
179,HD.
180,M B
181,KAWK
182,KW
183,PETE
184,FLEE
185,OTH90
186,HOMD
187,FAIT
188,TRK
189,OTH01
190,RANDR
191,NEOP
192,BUEL
193,JEPP
194,ACUT
195,TRIU
196,PLY
197,ROVE
198,NEFL
199,ROVR
200,ACUA
201,ISUS
202,OTHR
203,COOP
204,DANZ
205,LNRV
206,RANGE
207,AUROR
208,PETER
209,CHUA
210,KAIT
211,NABI
212,YAMAH
213,EQUA
214,LANDR
215,DUCA
216,TACO
217,TRAIL
218,THOM
219,RANGR
220,FRE
221,DETRL
222,JETTA
223,GREAT
224,AUDIO
225,ISZU
226,VW
227,LINCN
228,COMM
229,WRANG
230,SEBLI
231,GREA
232,UNKNO
233,PORSH
234,UTI
235,SATN
236,FLAT
237,ALTE
238,FORES
239,NWFL
240,TRIA
241,BUS
242,LARO
243,DOUBL
244,WSTR
245,CORVE
246,MINI-
247,IAME
248,MIN
249,ROLL
250,TY
251,MER
252,B0AT
253,PONI
254,SMART
255,RIVIE
256,PREVO
257,PORSC
258,RROVE
259,FEDEX
260,FREIT
261,NO PA
262,VAN
263,COMMV
264,BENZ
265,7-9AM
266,DE TR
267,DETAC
268,PARK
269,MCDNL
270,EAGLE
271,NEON
272,DETCH
273,RV
274,TRUCK
275,NO ST
276,NO EZ
277,DISP
278,WESTE
279,MAIL
280,FRIE
281,KAW
282,FRGT
283,MICK
284,PET
285,TOP B
286,GENES
287,THOMA
288,00000
289,BULLE
290,STOU
291,MEZ
292,DAEWO
293,UTILI
294,LDV
295,WABA
296,WABAS
297,GDAN
298,WAB
299,MON A
300,08
301,TALON
302,WORK
303,XXX
304,TRL
305,STOUG
306,NO PK
307,AMER
308,EGIL
309,3-6 N
310,GRDA
311,H.B.
312,AHERN
313,PIN
314,ALL
315,STRI
316,TK LO
317,WBS
318,XX
319,4-6 N
320,MALIB
321,CHALK
322,7:30-
323,LR
324,KOMFO
325,TRIUM
326,VANG
327,BENTL
328,CAR
329,VANHO
330,BENT
331,STEP
332,7-9 N
333,NO P
334,DEACH
335,HAULM
336,PIAG
337,DETEA
338,BUELL
339,NITS
340,HARLY
341,PEUG
342,2004
343,TOYTA
344,TMO
345,TOUR
346,COTT
347,DISPL
348,GD
349,SMALL
350,POSTA
351,MARYL
352,DOON
353,NO PE
354,SMRT
355,OBSER
356,HO
357,RROV
358,VIPER
359,BUGGY
360,OTHER
361,WANC
362,SPIDE
363,CHER
364,OSHK
365,MANAC
366,UPS
367,SMAR
368,AROU
369,HMDE
370,WHITE
371,B2300
372,EXPIR
373,HUSQV
374,ZHEJ
375,EXCEE
376,UHAUL
377,HYD
378,2HR P
379,311 C
380,CA4
381,BUCK
382,TOTY
383,TRLR
384,NO EM
385,ALLEG
386,GRDN
387,BLOCK
388,COOPE
389,KYMC
390,TELSA
391,LIN
392,B6486
393,POSTE
394,CROWN
395,R ROV
396,GOSH
397,AMC H
398,VLW
399,MAZA
400,TUON
401,MOBIL
402,ALRO
403,DUMPE
404,JAYCO
405,TITA
406,DUMP
407,AMC
408,BB
409,GMV
410,FRUE
411,ABART
412,MB.
413,TORFL
414,U HAU
415,COMPL
416,SCHOO
417,CYCLE
418,INTRI
419,TUSCA
420,LA TR
421,QQ
422,SERRA
423,SPRIN
424,PROW
425,OBSTR
426,MOTO
427,EZDUM
428,ROUTE
429,SYSCO
430,MON\T
431,JH
432,GRUMM
433,DURAP
434,VISIB
435,FRUEH
436,3-6:3
437,EXP T
438,1HR P
439,SINGA
440,PORCH
441,THUND
442,PST T
443,0THER
444,CHLK
445,EVERG
446,CIMC
447,NONE
448,4-6:3
449,TO
450,BULL
451,TESLA
452,EXP M
453,DANE
454,MINIC
455,2 HR
456,TAOTA
457,NOTHI
458,WED 8
459,ALERO
460,PST N
461,GT
462,MURRA
463,VICTO
464,USPS
465,BROKE
466,PARKE
467,4PM-6
468,TRACK
469,ASK C
470,TRACT
471,MASTE
472,TUES
473,IN3
474,BACK-
475,H0NDA
476,LINVO
477,MERCY
478,TRAC
479,VESPA
480,PEACE
481,CLAS
482,KYMCO
483,OTHE
484,STRG
485,7AM-9
486,CIVI
487,LEGAC
488,VAHO
489,VNTC
490,CORV
491,HEIL
492,Hyund
493,BLUE
494,SOME
495,VPG
496,CIM
497,NEW F
498,THOR
499,RORO
500,BARB
501,PIER
502,AUTC
503,WORKH
504,MAC
505,WEST
506,MCI
507,STLG
508,ICBU
509,STAR
510,BUIK
511,FLIN
512,TURT
513,MG
514,UTL
515,GTD
516,PACE
517,TRA
518,LOKI
519,EAS
520,TRIP
521,UD
522,HEI
523,INT
524,FON
525,G D
526,LARV
527,KENW
528,EAST
529,MAJE
530,SKT
531,MC
532,REITN
533,ESMC
534,IC CO
535,L R
536,PREO
537,FISK
538,ASTO
539,FRT
540,BMW.
541,RECO
542,TRAN
543,MCIN
544,MAS
545,PTB
546,VNHL
547,MAC T
548,SETR
549,UDT
550,GDT
551,ORIO
552,UTIL
553,TRLM
554,STR
555,BEN
556,POLAR
557,PINE
558,GALBR
559,TAGS
560,CURR
561,MD
562,MINC
563,X L S
564,NDMC
565,PIRC
566,PREV
567,VANH
568,MARK
569,POLA
570,DOGD
571,HIND
572,JAGR
573,FLOR
574,EZ DU
575,PERL
576,VOVL
577,HONS
578,VOLO
579,TAGA
580,MAYB
581,FACE
582,SUPR
583,GRTD
584,GMAC
585,CAN
586,CADO
587,TRGB
588,STEM
589,KEN
590,AJAX
591,WALKE
592,MNIB
593,FONT
594,AVANT
595,GIND
596,UTLI
597,UD.
598,ROAD
599,BLBI
600,LR.
601,KENT
602,GRAT
603,DATS
604,MERB
605,WALK
606,CARRI
607,BAR B
608,ASM
609,FORV
610,STAO
611,DIAMO
612,FRH
613,LNRO
614,MITI
615,HYTR
616,JMH
617,CHYR
618,OUTL
619,SCI
620,EAG
621,BUDD
622,PROVI
623,TOP
624,GEORG
625,REIT
626,GMC.
627,BUT
628,UD2
629,LDRO
630,DACO
631,LE E
632,CARR
633,STNTE
634,MONN
635,KENS
636,ADV
637,SPNR
638,02
639,BOYD
640,JINDO
641,MIST
642,STO
643,FERR
644,RESER
645,EXPED
646,ARAMA
647,PSTD
648,ABF-T
649,THURS
650,TE5LR
651,BRP
652,7-10
653,OTHEH
654,MTS
655,IMPED
656,NO S
657,COLEM
658,WINNE
659,ZQQ
660,RIVER
661,730A-
662,PENSK
663,CTMPL
664,PST C
665,DAIH
666,BLKIN
667,METER
668,8-12
669,GEM
670,GRIEC
671,CROSS
672,10-3
673,HOLRA
674,JAQ
675,DUCAT
676,BIKE
677,LULL
678,DAE
679,LANCE
680,GRAY
681,LONE
682,40908
683,RYDER
684,AC
685,ENTER
686,FORD1
687,HHOND
688,8A 9A
689,GENE
690,C AND
691,CAB
692,LOTUS
693,WINDC
694,HY
695,SPYDE
696,NO #3
697,L4677
698,PST B
699,SUKI
700,TRASH
701,JLG
702,XTERR
703,FED E
704,BOULE
705,NISSN
706,ITILI
707,MOTOC
708,EQUUS
709,CENTU
710,BIG T
711,KURB
712,5-MO
713,FORD3
714,5/15
715,HH
716,TOW
717,KURBM
718,SCOIN
719,AMERI
720,RAAIL
721,ASTON
722,TIBUR
723,C/S 8
724,BLUEB
725,COVET
726,ROL
727,LLBEL
728,GRTDN
729,PICKU
730,APRIL
731,UNKNW
732,7AM-1
733,VEH I
734,FUSO
735,730-1
736,RIVEA
737,CURRA
738,ORV
739,IMPE
740,3HR P
741,XL
742,SEMI
743,ECONO
744,HEAD-
745,7-9 P
746,GAUMM
747,MP
748,ARO
749,SLING
750,7:30A
751,WED 1
752,ERC
753,VENIC
754,MOPAD
755,NOSEC
756,NI
757,DRIVE
758,8-11C
759,COMME
760,SHADO
761,4/13
762,MID
763,INTRN
764,CENTR
765,GM
766,8/17
767,STARC
768,TRL-
769,MERKU
770,MEHAR
771,ALUMA
772,MITO
773,7-9 A
774,20706
775,SEACU
776,TRANS
777,NO TA
778,IN
779,LOADR
780,DART
781,ANY
782,GENIS
783,SCAMP
784,NISS4
785,C AN
786,FRIDA
787,LANC
788,FLEET
789,7-9:3
790,SECTI
791,SLIN
792,FISKE
793,PARKI
794,CHEET
795,NV
796,L4
797,PK BL
798,BLOC
799,BMV
800,BUS L
801,2016
802,MEC
803,SU
804,LAMBO
805,8/15
806,CAMPE
807,WHTGM
808,SPART
809,PK IN
810,MON.8
811,4-5:3
812,415PM
813,7-9 S
814,FRONT
815,12/15
816,B4
817,GRN
818,CARMA
819,2018
820,2017
821,AENZ
822,V0LVO
823,ANVIL
824,LARK
825,N
826,UTIMA
827,FOR3
828,BLUBR
829,LOTU
830,HUDSO
831,GRTDA
832,HR
833,DHL
834,TOMOS
835,RODEO
836,FTR
837,INTR
838,ECLIP
839,4
840,ALTEZ
841,TEX
842,LEE
843,GMT
844,IMPRO
845,AB
846,DO
847,VV
848,MECUR
849,HOMES
850,N PK
851,UTILM
852,CONT
853,BROD
854,4-6 P
855,WARD
856,RIV
857,MAZEA
858,FRGLN
859,CAM
860,VENTU
861,POR
862,AVAN
863,TOW T
864,RAND
865,UNKN7
866,LE4
867,LAVDI
868,CHAE
869,UNI
870,APPAL
871,SILV
872,GRAN
873,PASS
874,MASRA
875,ACURD
876,KFAU
877,MORG
878,VO
879,FEX
880,CARGO
881,AUOR
882,CAY
883,HYBIR
884,PST W
885,DAMON
886,JIFFY
887,HOME
888,MISSI
889,BUIZ7
890,DATSU
891,FOODC
892,FONTA
893,ME
894,SABB
895,HALE
896,SUV
897,GRUMA
898,BAYLI
899,4-630
900,MAERS
901,LE
902,KAUFM
903,DETAT
904,SAB
905,4-6PM
906,MON 8
907,MONDA
908,4:15P
909,5/16
910,DETC
911,O4
912,DOWN
913,4:15-
914,ROLLS
915,VOV
916,FF
917,38306
